imdb_id,movie_title,director_name,director_bio,inferred_gender,confidence_score
tt3735246,Bajirao Mastani,Sanjay Leela Bhansali,"Sanjay Leela Bhansali (born February 24, 1963) is an Indian film director, producer, screenwriter, and music director known for his female-led films with a distinctive style of grand cinematic sets and extravagant costumes, incorporation of classical music and inspirations from dramatic epics. One of the most critically acclaimed filmmakers of Hindi cinema, Bhansali is the recipient of several awards, including four National Film Awards and ten Filmfare Awards. In 2015, the Government of India honoured him with the Padma Shri, the fourth highest civilian award.

He made his directorial debut with Khamoshi: The Musical (1996) for which he received Filmfare Critics Award for Best Film. He rose to prominence in Indian cinema with commercially successful and widely acclaimed romantic drama Hum Dil De Chuke Sanam (1999), the romantic drama Devdas (2002) —which received nomination for Best Foreign Film at British Academy of Film & Television Awards (BAFTA)— and the drama Black (2005), for all of which he received multiple Best Director Award and Best Film Award along with additional Critics Award for Best Film for the latter at Filmfare Awards, and multiple National Film Awards for the latter two. However, he followed it by directing consecutive commercially flop films Saawariya (2007) and Guzaarish (2010).

He is an alumnus of the Film and Television Institute of India. He is the founder of a production house, Bhansali Productions. Bhansali has adopted the middle name ""Leela"" as a tribute to his mother, Leela Bhansali.",male,1.0
tt2140465,Tanu Weds Manu: Returns,Aanand L. Rai,"Aanand L. Rai is a Hindi film director and producer known for romantic-comedy movies Tanu Weds Manu (2011), Raanjhanaa (2013), Tanu Weds Manu: Returns (2015) and Zero (2018)",male,1.0
tt2392447,Ungli,Renzil D'Silva,,male,1.0
tt3322420,Queen,Vikas Bahl,"Vikas Bahl is an Indian film producer, screenwriter, and director, known for his work predominantly in Hindi cinema. He produces films under Phantom Films, and was the former head of UTV Spot Boy. He has won three National Film Awards and one Filmfare Award.

He is best known for his 2014 movie Queen which won him the Filmfare Award for Best Director alongside many more accolades.",male,1.0
tt6826438,Parmanu: The Story of Pokhran,Abhishek Sharma,,male,1.0
tt4906984,Azhar,Anthony D'Souza,,male,1.0
tt6452574,Sanju,Rajkumar Hirani,"Rajkumar Hirani (born 1962) is a National Award and Filmfare Award winning Indian Director, screenwriter and film editor of Hindi films, best known for the films Munna Bhai MBBS (2003), Lage Raho Munnabhai (2006) and 3 Idiots (2009), considered the highest-grossing hit Hindi film by distributor-share",male,1.0
tt4559006,Ae Dil Hai Mushkil,Karan Johar,"Karan Johar often informally referred to as KJo,  is an Indian film director, producer, screenwriter, costume designer,  actor and television personality who is primarily known for his work in  Hindi films. He is the son of Hiroo Johar and the acclaimed producer Yash Johar.

Johar made his directorial debut with the blockbuster romance Kuch Kuch Hota Hai (1998), which earned him the Filmfare Awards for Best Director and Best Screenplay. His next two films were the ensemble dramas Kabhi Khushi Kabhie Gham... (2001) and Kabhi Alvida Naa Kehna (2006), which were both very successful in the overseas market. His counter-terrorism drama My Name Is Khan (2010) earned him his second Filmfare Award for Best Director. These, along with the several successful films he has produced under the Dharma Productions banner, have established him as one of the leading director-producers in Hindi cinema.",male,1.0
tt8202612,Satyameva Jayate,Milap Zaveri,"Milap Milan Zaveri, also known as Milap Zaveri, is an Indian film director and writer who has worked in blockbusters like Shootout at Wadala, Satyameva Jayate, and Marjaavaan. He is known for his outdated action films. He started his career as a dialogue writer in 2002 with the film Yeh Mohabbat Hai. In 2010 he made his directorial debut with the film Jaane Kahan Se Aayi Hai.",male,1.0
tt1395025,Agent Vinod,Sriram Raghavan,"Sriram Raghavan is an Indian film director and screenwriter who works in Hindi cinema. He is primarily considered an auteur of neo-noir action thrillers.

Raghavan made his directorial debut with Ek Hasina Thi (2004). He then went on to direct the critically acclaimed Johnny Gaddaar (2007), an adaptation of the 1962 French novel Les mystifiés by Alain Reynaud-Fourton. His prominence increased with Andhadhun (2018), which tells the story of a blind piano player who unwittingly becomes embroiled in the murder of a retired actor. The film received critical acclaim and was commercially successful. Raghavan is the recipient of several accolades, including two National film Awards and two Filmfare Awards.",male,1.0
tt5502766,Phillauri,Anshai Lal,,male,1.0
tt6791730,Tumhari Sulu,Suresh Triveni,Suresh Triveni is a film director known for Tumhari Sulu (2017) and Jalsa (2022).,male,1.0
tt1833673,Dhoom 3,Vijay Krishna Acharya,,male,1.0
tt4169250,M.S. Dhoni: The Untold Story,Neeraj Pandey,"Neeraj Pandey  is an Indian film director, producer and screenwriter. Pandey made his directoral debut in A Wednesday!, which was largely praised by audiences as well as critics and which later became a recipient of many accolades. His second film was Special 26 (2013), which was followed by Baby (2015), the latter of which received critical acclaim and became a huge commercial success. He served as a producer in Rustom (2016). Pandey returned to directing in 2017 helming the biopic M.S. Dhoni: The Untold Story based on renowned Indian cricketer M.S.Dhoni which fared well critically and commercially. Besides being a filmmaker, Pandey is also a writer and has written a novel names Ghalib Danger in 2013.

In 2016, his Production House Friday Filmworks and Reliance Entertainment entered into a joint venture and formed Plan C Studios.

He has also directed a Web Short 'Ouch' with Manoj Bajpayee and Pooja Chopra which is nominated for Filmfare Short Film Award 2017. As the co-producer, his recent blockbuster Toilet- Ek Prem Katha is getting critical appreciation from the film industry and the audience.",male,1.0
tt2317103,Sons of Ram,Kushal Ruia,,male,1.0
tt8136908,Halkaa,Nila Madhab Panda,,male,1.0
tt2150177,Bhaiaji Superhitt,Neeraj Pathak,,male,1.0
tt4129428,Jagga Jasoos,Anurag Basu,"Anurag Basu is an India television-advertiser, reality show-judge, director, actor, screenwriter and producer. Basu achieved initial success with his films tackling the themes of passion and adultery[ such as Life in a... Metro, Kites, Gangster and Murder. 

He began his directing career in television, moving to feature films in 2002.",male,1.0
tt2378057,?: A Question Mark,Allyson Patel,,female,0.9
tt2378057,?: A Question Mark,Yash Dave,,male,1.0
tt8504014,Good Newwz,Raj Mehta,,male,1.0
tt4683366,Ghayal Once Again,Sunny Deol,"Sunny Deol is an Indian film actor, director and producer known for his works exclusively in Hindi cinema. He is the son of veteran actor Dharmendra, and the elder brother of actor Bobby Deol and Esha Deol and Ahana Deol

In a film career spanning over thirty years, Deol has won two National Film Awards, and two Filmfare Awards. Box Office India listed Deol as the overall star of the nineties.

Deol made his debut in the film Betaab for which he was nominated for the Filmfare Award for Best Actor. From there, he went on to star in numerous films in the 1980s and 90s like Tridev, Arjun, Kroadh, Ghayal, Vishwatma, Lootere, Darr, Damini – Lightning, Jeet, Ghatak, Border, Ziddi, Arjun Pandit, and Indian. He made his debut as a director and producer with Dillagi, in which he also starred alongside his brother Bobby. Deol made his debut opposite fellow debutante Amrita Singh in Betaab (1982), which was a blockbuster that launched the careers of both actors. His performance won him his first Filmfare Best Actor Award Nomination.",male,1.0
tt2292625,Chakravyuh,Prakash Jha,"Prakash Jha (born 27 February 1952) is an Indian film producer-director-screenwriter, who is most known for his political and socio-political films such as Damul (1984), Mrityudand (1997), Gangaajal (2003), Apaharan (2005), and multi starrer hit movie Rajneeti (2010). He is also the maker of National Film Award-winning documentaries like, Faces After The Storm (1984) and Sonal (2002).",male,1.0
tt4940456,Mirzya,Rakeysh Omprakash Mehra,"From Wikipedia, the free encyclopedia.  Rakeysh Omprakash Mehra (born 7 July 1963) in a Hindu Punjabi Family in New Delhi. He is an Indian filmmaker and screenwriter. He is best known for writing and directing Rang De Basanti (2006), for which he won Best Director awards at the 2006 Filmfare Awards and National Film Awards and received a BAFTA Award nomination for Best Foreign Language Film. He is also the writer and director of the films Aks (2001) and Delhi-6 (2009).

Description above from the Wikipedia article Rakeysh Omprakash Mehra, licensed under CC-BY-SA, full list of contributors on Wikipedia.",male,1.0
tt2112131,Dabangg 2,Arbaaz Khan,"Arbaaz Khan is an Indian actor, director and film producer, known for his work in Hindi cinema. Since making his debut in 1996, he has acted in many leading and supporting roles. He ventured into film production in Bollywood, with Arbaaz Khan Productions, launched with Dabangg (2010), in which he starred as the younger brother of his real-life brother Salman Khan. The film went on to become one of the highest-grossing Bollywood films of all time. He also won the National Film Award for Best Popular Film Providing Wholesome Entertainment for the same.[6] He also hosted the reality show Power Couple, which aired on Sony TV.",male,1.0
tt6986710,The Accidental Prime Minister,Vijay Ratnakar Gutte,,male,1.0
tt3877652,Desi Kattey,Anand Kumar,,male,1.0
tt4971258,Bombairiya,Pia Sukanya,,female,1.0
tt3449292,Manjhi: The Mountain Man,Ketan Mehta,,male,1.0
tt4262516,Sanam Re,Divya Khosla Kumar,"Divya Khosla Kumar is an Indian film Actress, Producer and Director. She has directed various advertisements and has also featured in some music videos. She is the wife of Bhushan Kumar, the chairman and managing director of T-Series music label and film production company.",female,1.0
tt4594848,Luckhnowi Ishq,Aanand Raut,,male,1.0
tt2222716,Baat Bann Gayi,Shuja Ali,,male,1.0
tt5543746,Maatr,Ashtar Sayed,,male,1.0
tt9319812,Hum Chaar,Abhishek Dixit,,male,1.0
tt5935704,Padmaavat,Sanjay Leela Bhansali,"Sanjay Leela Bhansali (born February 24, 1963) is an Indian film director, producer, screenwriter, and music director known for his female-led films with a distinctive style of grand cinematic sets and extravagant costumes, incorporation of classical music and inspirations from dramatic epics. One of the most critically acclaimed filmmakers of Hindi cinema, Bhansali is the recipient of several awards, including four National Film Awards and ten Filmfare Awards. In 2015, the Government of India honoured him with the Padma Shri, the fourth highest civilian award.

He made his directorial debut with Khamoshi: The Musical (1996) for which he received Filmfare Critics Award for Best Film. He rose to prominence in Indian cinema with commercially successful and widely acclaimed romantic drama Hum Dil De Chuke Sanam (1999), the romantic drama Devdas (2002) —which received nomination for Best Foreign Film at British Academy of Film & Television Awards (BAFTA)— and the drama Black (2005), for all of which he received multiple Best Director Award and Best Film Award along with additional Critics Award for Best Film for the latter at Filmfare Awards, and multiple National Film Awards for the latter two. However, he followed it by directing consecutive commercially flop films Saawariya (2007) and Guzaarish (2010).

He is an alumnus of the Film and Television Institute of India. He is the founder of a production house, Bhansali Productions. Bhansali has adopted the middle name ""Leela"" as a tribute to his mother, Leela Bhansali.",male,1.0
