title_kaggle,imdb_id,poster_path,wiki_link,original_title,is_adult,runtime,genres,imdb_rating,imdb_votes,story_kaggle,summary_kaggle,tagline_kaggle,actors,wins_nominations,release_date,year_of_release_int,clean_original_title,clean_title_kaggle,lifetime_collection_matched
W (2014 film),tt3166542,https://upload.wikimedia.org/wikipedia/en/e/e0/WFilmPoster2014.jpg,https://en.wikipedia.org/wiki/W_(2014_film),W,0,137,Crime|Musical|Thriller,6.8,43.0,W - If Woman is one of the words which comes to your mind  this movie is for you!Open-minded  ambitious Sandhya Singh a.k.a Sandy (Leeza Mangaldas); Traditional  romantic Roohi Malik (Lezlie Tripathy) and Rebellious  lesbian (gay) Manu (Sonal Giani) are musicians & best friends forever (BFF) who run an event management company called W.Short of funds and racing against time on their journey to organize their biggest music event yet The Freedom Concert they unexpectedly encounter The introvert  fanatic Abhay a.k a. Bhaiji (Raaj Singh Arora); Mentally unstable Dhruv (Danish Pandor) & Womanizer Chotu (Abhay Attri). Although of good social standing  these men have issues with urbanization & modernity!Not a battle of fists  W comes as a contemporary youthful musical thriller which explores the clash between the Women of Today and Men of Yesterday and how each side justifies their actions  words and mindset while setting an example for the rest of us without being preachy.,W - If Woman is one of the words which comes to your mind  this movie is for you! Open-minded  ambitious Sandhya Singh a.k.a Sandy (Leeza Mangaldas); Traditional  romantic Roohi Malik (...                    See full synopsis »,Women of Today v/s Men of Yesterday,Leeza Mangaldas|Lezlie Tripathy|Sonal Giani|Raaj Singh Arora|Danish Pandor|Abhey Jit Attri|,,14 March 2014 (India),2014,w,w,0.04 Cr
Yaaram (2019 film),tt11007050,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg,https://en.wikipedia.org/wiki/Yaaram_(2019_film),#Yaaram,0,\N,Comedy|Romance,5.7,7.0,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for him to remarry her. This twisted tale of love turns into a sour dose of betrayal - all this and more  in the name of friendship.,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...,,Siddhanth Kapoor|Prateik|Anita Raj|Ishita Raj|Subha Rajput|Natasha Stankovic|,,,2019,yaaram,yaaram,0.03 Cr
Happy Bhag Jayegi,tt5472758,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Happy_Bhag_Jayegi_poster.jpg/220px-Happy_Bhag_Jayegi_poster.jpg,https://en.wikipedia.org/wiki/Happy_Bhaag_Jayegi,Happy Bhag Jayegi,0,126,Comedy|Romance,6.4,4633.0,After fleeing an arranged marriage  a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.,After fleeing an arranged marriage  a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.,,Diana Penty|Abhay Deol|Jimmy Sheirgill|Ali Fazal|,3 nominations,19 August 2016 (USA),2016,happy bhag jayegi,happy bhag jayegi,28.82 Cr
Newton (film),tt6484982,https://upload.wikimedia.org/wikipedia/en/6/68/Newton_%28film%29.png,https://en.wikipedia.org/wiki/Newton_(film),Newton,0,106,Drama,7.7,13697.0,As India  the world's largest democracy  braces itself for another general election- with 9 million polling booths  more than 800 million voters  and costing nearly $5 billion -- Newton Kumar  a rookie government clerk finds himself entrusted with a task that appears deceptively simple: conducting elections in a remote village in the jungles of central India. The bushes teem with Communist guerrillas  who have been waging a decades old war against the state  even as the indigenous tribals live without any access to mainland amenities. Conducting 'free and fair' elections in a minefield like this is no child's play  as Newton learns over the course of this eventful day. Unfazed with the cynicism and danger all around him  Newton is determined to do his duty. But  as they say in the jungle  'The more things change  the worse they will get'.,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Electoral Rumble in the jungle.,Rajkummar Rao|Pankaj Tripathi|Anjali Patil|Raghuvir Yadav|,12 wins & 25 nominations,22 September 2017 (India),2017,newton,newton,22.80 Cr
Zero (2018 film),tt6527426,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Zero_official_poster.jpg/220px-Zero_official_poster.jpg,https://en.wikipedia.org/wiki/Zero_(2018_film),Zero,0,164,Comedy|Drama|Romance,5.5,21456.0,The story revolves around Bauua Singh (Shah Rukh Khan)  a vertically challenged man  who is full of charm and wit  with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence and indulgence  Bauua was never failed by Meerut or its people. But when he meets two women (Katrina Kaif  Anushka Sharma)  his experiences with these women take him on a journey to complete his 'incompleteness' and broaden his horizons to find a purpose he never knew he had.,The story revolves around Bauua Singh (Shah Rukh Khan)  a vertically challenged man  who is full of charm and wit  with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence  he is challenged to broaden his horizon and find purpose in life.,,Shah Rukh Khan|Anushka Sharma|Katrina Kaif|Mohammed Zeeshan Ayyub|Abhay Deol|Madhavan|,4 wins & 10 nominations,21 December 2018 (USA),2018,zero,zero,90.28 Cr
M Cream,tt2963974,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/MCR_Theatrical_Poster.jpg/220px-MCR_Theatrical_Poster.jpg,https://en.wikipedia.org/wiki/M_Cream,M Cream,0,112,Adventure|Comedy|Drama,5.7,590.0,FIGS is the typical cynic one finds lurking in the expansive lawns of Delhi University. Entangled in a web of drugged out delirium  he's the quintessential rebel. His world is thrown into disarray when his conservative parents begin to chalk out a strategy for his future. Things only become worse when a sudden scarcity of hash deprives Figs of his favorite pastime. Unable to cope with the situation  Figs joins forces with his best friend MAGGIE on a quest to attain M Cream  a mythical form of hash. They hastily devise a plan to trek to the far reaches of the Himalayas in pursuit of this goal. Maggie ropes in her boyfriend NIZ  who's purportedly headed to the hills on a photo assignment. Unbeknownst to Figs  the trio is joined by JAY  a close friend of Niz. Chaos ensues as the reckless travelers journey across the Himalayan expanse. The road trip results in a series of unexpected encounters that begin to unravel the myriad realities of rebellion. Difficult choices are made and ...,A motley crew of university students set out on a journey in pursuit of a mythical form of hash  confronting a series of encounters that begin to unravel the myriad realities of rebellion.,,Tom Alter|Raaghav Chanana|Ira Dubey|Lushin Dubey|Auritra Ghosh|Rahil Gilani|Barry John|Santosh Ojha|Beatrice Ordeix|Lili Rocha|Imaaduddin Shah|,4 wins,22 July 2016 (India),2014,m cream,m cream,0.31 Cr
Chennai Express,tt2112124,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Chennai_Express.jpg/220px-Chennai_Express.jpg,https://en.wikipedia.org/wiki/Chennai_Express,Chennai Express,0,141,Action|Comedy,6.0,45649.0,Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route  he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India  an unanticipated drive awaits them.,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,This Eid 8th Aug... Ready steady po!,Deepika Padukone|Shah Rukh Khan|Sathyaraj|Nikitin Dheer|Priyamani|,33 wins & 54 nominations,8 August 2013 (USA),2013,chennai express,chennai express,227.13 Cr
Student of the Year,tt2172071,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Student_of_the_Year_Poster.jpg/220px-Student_of_the_Year_Poster.jpg,https://en.wikipedia.org/wiki/Student_of_the_Year,Student of the Year,0,146,Comedy|Drama|Romance,5.4,13358.0,"Dean Yoginder Vashisht (Rishi Kapoor)  retired  has fallen gravely ill. Several students from his final year at St. Theresa's College rush to his side. In flashbacks  they all recall the events that none of them have gotten over yet  including the dean  and how the ""Student of the Year"" competition shaped who they were  how they related  and what they've become.",Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,,Alia Bhatt|Sidharth Malhotra|Varun Dhawan|Rishi Kapoor|Sana Saeed|Sahil Anand|Manasi Rachh|Manjot Singh|Ronit Roy|Ram Kapoor|Kayoze Irani|,7 wins & 29 nominations,19 October 2012 (USA),2012,student of the year,student of the year,70.00 Cr
Bewakoofiyaan,tt3483646,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Bewakoofiyaan_Poster.jpg/220px-Bewakoofiyaan_Poster.jpg,https://en.wikipedia.org/wiki/Bewakoofiyaan,Bewakoofiyaan,0,119,Comedy|Drama|Romance,5.5,3455.0,Mohit is a marketing whiz kid vying for a step up the career ladder. Mayera is a financial brain with a penchant for shoes. They're a young middle-class corporate couple that's ambitious and likes the good life too. They work hard  they party hard. They're also passionately in love with each other. Their belief: You can live on love and fresh air. Their obstacle: Mayera's willful bureaucratic father V.K Sehgal. The obstinate old man believes that only a rich man can bring Mayera happiness and a mid-level executive like Mohit simply isn't good enough! Exactly how fragile are relationships in these times where consumer lifestyles dictate their very nature and intensity? Who gets the last laugh when recession strikes and the lack of money tests love... credit-card-junkies private-sector Mohit-Mayera; or safe-playing sarkari  V.K. Sehgal?,Bewakoofiyaan is a slice-of life comedy when recession strikes and the lack of money tests love. Is living on love and fresh air really possible?,love mein thhoda stupid.,Ayushmann Khurrana|Sonam Kapoor|Rishi Kapoor|Swedha Singh|Deepika Amin|,,14 March 2014 (India),2014,bewakoofiyaan,bewakoofiyaan,14.01 Cr
Raanjhanaa,tt2359810,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Raanjhanaafilmposter.jpg/220px-Raanjhanaafilmposter.jpg,https://en.wikipedia.org/wiki/Raanjhanaa,Raanjhanaa,0,140,Drama|Romance,7.6,27434.0,"The pundit's son Kundan (Dhanush) has fallen for the girl at first sight. That they're both kids makes us dismiss it as a meaningless crush. But a few years later  the boy is still in love with the girl  Zoya (Sonam Kapoor). When she's in school  he follows her around holding her hand and getting slapped in the process. Finally  she relents because of his ""consistency"". The film shifts cities when Zoya gets into JNU (Jawaharlal Nehru University)  and through her  we are introduced to the idealistic and political culture of the place. She discovers a long-lost strength as she confronts and then falls for student leader Akram (Abhay Deol). The film takes a turn when Zoya returns to her hometown after eight long years only to find some things changed  and others surprisingly the same.",Kundan  the son of a Hindu pundit  discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However  he persistently seeks to win her heart.,,Dhanush|Sonam Kapoor|Mohammed Zeeshan Ayyub|Swara Bhaskar|Abhay Deol|Shilpi Marwaha|Suraj Singh|Kumud Mishra|Deepika Amin|Nisha Jindal|Vipin Sharma|Naman Jain|Arvind Gaur|Sujata Kumar|,8 wins & 25 nominations,21 June 2013 (India),2013,raanjhanaa,raanjhanaa,60.35 Cr
Kismat Love Paisa Dilli,tt2402131,,https://en.wikipedia.org/wiki/Kismet_Love_Paisa_Dilli,Kismet Love Paisa Dilli,0,129,Adventure|Comedy|Crime,4.2,532.0,Film is set in one winter night in Delhi where a middle class  Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting operation tape in his pocket. This sting operation has a minister talking of buying and selling MLAs and media heads from his Swiss bank accounts. Unknown to this he is chased by corrupt cops and good guys to get that tape back. Soon he gets to know of tape with him and it's high relevance. How this university student who always talked against corruption like any layman  now gets bribed himself by the big offer thrown by Minster's man constitutes the edge of the seat climax of story.,Film is set in one winter night in Delhi where a middle class  Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting ...,,Vivek Oberoi|Mallika Sherawat|Neha Dhupia|Anshuman Jha|,2 wins,5 October 2012 (India),2012,kismet love paisa dilli,kismat love paisa dilli,3.80 Cr
Ek Tha Tiger,tt2016894,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Ek_Tha_Tiger_theatrical_poster.jpg/220px-Ek_Tha_Tiger_theatrical_poster.jpg,https://en.wikipedia.org/wiki/Ek_Tha_Tiger,Ek Tha Tiger,0,132,Action|Romance|Thriller,5.5,26996.0,In the dark world of intelligence and espionage  all information is guarded in the name of national security. But some stories escape the fiercely guarded classified files  stories that become legends. This is one such story  a story that shook the very foundation of this dark world. In a government employees' neighbourhood in New Delhi  there lived a rugged  handsome and mysterious bachelor about whom his neighbours knew nothing. That was because he was India's top spy  an officer with the Research and Analysis Wing (RAW)  India's external intelligence agency. This man was known even in official corridors as TIGER (Salman Khan). Tiger is sent on a relatively easy and safe mission to Dublin  Ireland to observe a scientist of Indian origin who is suspected of sharing his research findings with the Pakistan defence establishment. Tiger attempts to meet the scientist but is not successful. He tries to befriend the scientist's part time home caretaker  Zoya (Katrina Kaif). As Tiger begins...,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,,Salman Khan|Katrina Kaif|Girish Karnad|Roshan Seth|Ranvir Shorey|,13 wins & 7 nominations,15 August 2012 (India),2012,ek tha tiger,ek tha tiger,198.78 Cr
Crazy Cukkad Family,tt4094820,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Crazy_Cukkad_Family.jpg/220px-Crazy_Cukkad_Family.jpg,https://en.wikipedia.org/wiki/Crazy_Cukkad_Family,Crazy Cukkad Family,0,\N,Comedy,5.3,39.0,"This roller coaster ride begins with the Wealthy Mr. Beri slipping into his third Coma. His four estranged children have to make it back home to be there while their father ""hopefully"" breathes his last  leaving behind his huge estate in the mountains. Pawan beri (Swanand Kirkire) the oldest child of Mr. and Mrs Beri is a hustler who is in big trouble with a local mafia don turned Politician. Rude brash and arrogant  he looks at everything from his own crooked view. Archana Beri- (Shilpa Shukla) is the wannabe socialite who wanted to participate in the Miss India contest but she got married against her will at a young age now she is desperate to enter the Mrs. India contest. she is bitter towards the entire world including her family. She bullies her meek husband Digvijay (Ninad Kamat) who in secret has a dual personality. Aman Beri (Kushal Punjabi) is the New York based son who returns with his American wife  Amy (Nora Fatehi) who meets the family for the first time. He pretends to ...","This roller coaster ride begins with the Wealthy Mr. Beri slipping into his third Coma. His four estranged children have to make it back home to be there while their father ""hopefully"" ...",,Swanand Kirkire|Shilpa Shukla|Kushal Punjabi|Siddharth Sharma|,,,2015,crazy cukkad family,crazy cukkad family,0.39 Cr
Mary Kom (film),tt3001638,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/MaryKomPoster.jpg/220px-MaryKomPoster.jpg,https://en.wikipedia.org/wiki/Mary_Kom_(film),Mary Kom,0,122,Action|Biography|Drama,6.8,9307.0,A chronicle of the life of Indian boxer Mary Kom  who went through several hardships before audaciously accomplishing her ultimate dream.,A chronicle of the life of Indian boxer Mary Kom  who went through several hardships before audaciously accomplishing her ultimate dream.,,Priyanka Chopra|Sunil Thapa|Robin Das|Rajni Basumatary|Darshan Kumaar|Lin Laishram|Bijou Thaangjam|,7 wins & 10 nominations,5 September 2014 (India),2014,mary kom,mary kom,56.5 Cr
Humsafar,tt2403201,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/Humsafar,Humsafar,0,35,Drama|Romance,9.0,2968.0,Sara and Ashar are childhood friends who share the same status  Sara has always had strong emotions for Ashar; while Khirad lives with her mother in a two bedroom apartment. Ashar and Khirad are forced into a marriage due to desperate circumstances. Khirad is a proud and self-sufficient person and does not give importance to wealth and power  she only hopes for respect. Ashar believes that he would have married a girl equal to his stature but was forced into a loveless marriage. Slowly their relationship gets stronger and the two find common grounds to begin their marriage. Along with internal struggles between these two strong characters; Sara and those around her plot to create enmity between the newly married couple.,Ashar and Khirad are forced to get married due to desperate circumstances. Sara is Ashar's childhood friend and believed she would marry Ashar. Khirad is caught within this love-triangle with other internal and external forces at play.,,Fawad Khan|,,TV Series (2011–2012),2011,humsafar,humsafar,
Coffee Bloom,tt3666258,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Coffee_Bloom_film_poster.jpg/220px-Coffee_Bloom_film_poster.jpg,https://en.wikipedia.org/wiki/Coffee_Bloom,Coffee Bloom,0,90,Drama,6.5,98.0,Dev sells his family coffee estate as a statement underlining his renunciation of the world. When his mother dies heartbroken  he vows to prove worthy of her before scattering her ashes  little realizing that that involves confronting the world he shunned and his turbulent past.,Dev  though a self proclaimed wise man  finds comfort in being a loser  having given up on life as a result of a love gone wrong. A life changing event takes him on a journey to a coffee plantation.,,Arjun Mathur|Sugandha Garg|Ishwari Bose-Bhattacharya|Mohan Kapoor|,,6 March 2015 (USA),2015,coffee bloom,coffee bloom,0.03 Cr
Jai Gangaajal,tt4979082,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Jai_Gangaajal_poster.jpg/220px-Jai_Gangaajal_poster.jpg,https://en.wikipedia.org/wiki/Jai_Gangaajal,Jai Gangaajal,0,149,Crime|Drama,5.6,2308.0,A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,,Priyanka Chopra|Prakash Jha|Manav Kaul|Ninad Kamat|Rahul Bhat|Kiran Karmarkar|Murli Sharma|Ayush Mahesh Khedekar|Jagat Singh|Vega Tamotia|Shakti Kumar|Indraneel Bhattacharya|Ravi Khanvilkar|Ankush Bali|,,4 March 2016 (India),2016,jai gangaajal,jai gangaajal,32.63 Cr
